Location,Ontario producer,LCBO convenience outlet,Authorized to sell beer,Authorized to sell wine,Authorized to sell cider,Authorized to sell spirits,Authorized to sell ready-to-drink,Accepts empties,Bottle return only,Address,City/Town,Postal code,Latitude,Longitude
100 Acre Brewing Company,Y,N,Y,N,Y,N,N,N,N,390 Ashburnham Drive,Peterborough,K9J6X7,44.27733968,-78.29074882
100 Square,N,N,Y,Y,Y,N,Y,N,N,641 King Street East,Gananoque,K7G1H4,44.3365788,-76.1511333
1000 Islands Brewery,Y,N,N,Y,Y,N,N,N,N,65 King Street West,Brockville,K6V3P8,44.58912033,-75.68466328
1000 Variety,N,N,Y,Y,Y,N,Y,N,N,1000 Pape Avenue,East York,M4K3V7,43.68828,-79.3486
13th Street Winery,Y,N,N,Y,Y,N,N,N,N,1776 Fourth Avenue,St. Catharines,L2R6P9,43.15237458,-79.3132641
16 Mile Cellar,Y,N,N,Y,Y,N,N,N,N,3555 Eleventh Street,St. Catharines,L2R6P7,43.14042389,-79.32744102
17 Acre Travel Centre & Restaurant,N,Y,Y,Y,Y,Y,Y,Y,N,2025 County Road 44,Spencerville,K0E1X0,44.75982798,-75.48279306
17E Trading Post,N,Y,Y,Y,Y,Y,Y,Y,N,6999 Highway 17 East,Desbarats,P0R1E0,46.3373494,-84.01227532
180 Estate Winery,Y,N,N,Y,Y,N,N,N,N,4055 Nineteenth Street,Jordan Station,L0R1S0,43.15879525,-79.36799601
1804 Food Market,N,N,Y,Y,Y,N,Y,N,N,3355 Kingston Road,Scarborough,M1M1R3,43.7344966,-79.2210403
1818 Farm & Cidery,Y,N,N,Y,Y,N,N,N,N,1818 Bradley Side Road,Carp,K0A1L0,45.30925691,-75.95197581
1840 Farmhouse & Vineyard,Y,N,N,Y,Y,N,N,N,N,3775 Ganaraska Road,Orono,L0B1M0,44.01440657,-78.60239144
2 Main West General Store ,N,Y,Y,Y,Y,Y,Y,Y,N,2 Main Avenue West,Fisherville,N0A1G0,42.88169722,-79.90416848
2 Nine Five,N,N,Y,Y,Y,N,Y,N,N,8053 Portage Road,Niagara Falls,L2G5Z2,43.06027,-79.054
201 Cargill Road,N,N,Y,Y,Y,N,Y,N,N,201 Cargill Road,Cargill,N0G1J0,44.19552,-81.248
2027 Cellars,Y,N,N,Y,Y,N,N,N,N,3100 Glen Road,Jordan Station,L0R1S0,43.13018952,-79.37897659
21 Seven Market,N,N,Y,Y,Y,N,Y,N,N,1000 Bloor Street West,Toronto,M6H1L8,43.66124,-79.4304
21st Convenience,N,N,Y,Y,Y,N,Y,N,N,44 Market Street,Brantford,N3T2Z5,43.1396475,-80.2637571
24 7Even,N,N,Y,Y,Y,N,Y,N,N,385 Queen Street West,Toronto,M5V2A5,43.6490283,-79.3941258
24 Grab & Go,N,N,Y,Y,Y,N,Y,N,N,940 Gerrard Street East,Toronto,M4M1Z2,43.668263,-79.3407642
247 Arun Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1615 Birchmount Road,Scarborough,M1P2J3,43.76406,-79.2912
259 Kent Mini Mart,N,N,Y,Y,Y,N,Y,N,N,259 Kent Street West,Lindsay,K9V2Z3,44.35235,-78.7472
26 Acre Craft Cider Company,Y,N,N,Y,Y,N,N,N,N,103 Overholt Road,Ridgeville,L0S1M0,43.0579396,-79.29328741
2nd Streetlight Estate Winery,Y,N,N,Y,Y,N,N,N,N,36594 Huron Road,Clinton,N0M1L0,43.68553935,-81.6305334
3 Jit Variety,N,N,Y,Y,Y,N,Y,N,N,1452 Bloor Street West,Toronto,M6P3L5,43.65728656,-79.44887817
360 Daily Convenience,N,N,Y,Y,Y,N,Y,N,N,168 Kennedy Road South,Brampton,L6W3G6,43.6817,-79.7286
365 Convenience Store,N,N,Y,Y,Y,N,Y,N,N,979 King Street East,Hamilton,L8M1C3,43.25135,-79.8353
3J's Milk and Variety,N,N,Y,Y,Y,N,Y,N,N,2993 Islington Avenue,North York,M9L2K5,43.75916,-79.5706
4 Degrees Brewing,Y,N,Y,N,Y,N,N,N,N,275 Brockville Street,Smiths Falls,K7A4Z6,44.88253029,-76.01560415
401 Cider Brewery Company,Y,N,N,Y,Y,N,N,N,N,262 Orchard Road,Colborne,K0K1S0,44.02189641,-77.90588656
46 North Brewing Corp,Y,N,Y,N,Y,N,N,N,N,1275 Kelly Lake Road,Sudbury,P3E5P5,46.46565446,-81.03219966
